('[2024-05-25 13:11:53]', '[3.8267,3.5411,0.7563,2.6227,1.6879,2.7084]', '[-0.0876,0.0500,0.0608,0.0000,-0.0113,0.0113]', '[-1.9874,1.2061,-0.1399,1.0130,0.0273,0.1278]')
('[2024-05-25 13:11:53]', '[3.8212,3.5452,0.7606,2.6230,1.6877,2.7108]', '[-0.0776,0.0584,0.0609,0.0000,-0.0113,0.0227]', '[-2.1798,1.6233,-0.4941,1.1269,-0.0023,0.1129]')
('[2024-05-25 13:11:53]', '[3.8063,3.5585,0.7746,2.6241,1.6871,2.7119]', '[-0.0959,0.0609,0.0873,0.0000,-0.0113,-0.0000]', '[-2.6387,1.8711,-0.8141,1.3620,-0.1361,0.0820]')
('[2024-05-25 13:11:53]', '[3.7974,3.5660,0.7831,2.6247,1.6863,2.7119]', '[-0.0870,0.0694,0.1135,0.0000,-0.0113,-0.0113]', '[-2.9369,2.3180,-0.4223,1.4967,-0.1094,0.0553]')
('[2024-05-25 13:11:53]', '[3.7864,3.5723,0.7916,2.6253,1.6858,2.7118]', '[-0.0832,0.0362,0.0539,0.0000,-0.0113,-0.0113]', '[-2.9445,2.2466,-0.5990,1.5623,-0.1614,0.0288]')
('[2024-05-25 13:11:54]', '[3.7791,3.5786,0.7991,2.6260,1.6849,2.7118]', '[-0.0879,0.0747,0.0955,0.0003,-0.0113,-0.0113]', '[-3.3778,2.8390,-0.9572,1.6387,-0.2529,0.0046]')
('[2024-05-25 13:11:54]', '[3.7694,3.5844,0.8064,2.6267,1.6838,2.7115]', '[-0.1324,0.0516,0.0742,0.0000,-0.0113,-0.0113]', '[-3.8567,3.1916,-0.6901,1.8403,-0.1446,-0.0144]')
('[2024-05-25 13:11:54]', '[3.7567,3.5921,0.8168,2.6279,1.6830,2.7099]', '[-0.1550,0.0713,0.1116,0.0000,-0.0113,-0.0227]', '[-3.8309,2.9515,-0.9709,1.8715,-0.2099,-0.0080]')
('[2024-05-25 13:11:54]', '[3.7437,3.5993,0.8268,2.6284,1.6820,2.7075]', '[-0.1694,0.0914,0.1402,0.0000,-0.0246,-0.0561]', '[-6.0619,1.6443,0.2657,2.5423,0.4043,-0.1579]')
('[2024-05-25 13:11:54]', '[3.7282,3.6069,0.8394,2.6285,1.6796,2.7038]', '[-0.1960,0.1006,0.1485,0.0000,-0.0544,-0.0669]', '[-7.2179,0.9652,0.9098,3.1449,0.8393,-0.2119]')
('[2024-05-25 13:11:54]', '[3.7113,3.6139,0.8513,2.6285,1.6770,2.7000]', '[-0.1289,0.0872,0.1359,0.0000,-0.0543,-0.0801]', '[-8.6054,0.7027,1.8436,3.5545,1.1200,-0.3481]')
('[2024-05-25 13:11:54]', '[3.6965,3.6205,0.8617,2.6285,1.6726,2.6943]', '[-0.1985,0.0681,0.0987,0.0000,-0.0655,-0.0734]', '[-9.5173,0.7331,1.8740,3.8393,1.1158,-0.3795]')
('[2024-05-25 13:11:54]', '[3.6815,3.6263,0.8717,2.6285,1.6678,2.6881]', '[-0.1720,0.0747,0.1359,0.0000,-0.0490,-0.0969]', '[-9.2155,2.1797,2.3157,3.8696,1.0758,-0.4263]')
('[2024-05-25 13:11:54]', '[3.6423,3.6415,0.8996,2.6285,1.6585,2.6681]', '[-0.1772,0.0639,0.1810,-0.0113,-0.0423,-0.1162]', '[-12.2806,0.0552,4.6002,4.9869,1.9516,-0.5827]')
('[2024-05-25 13:11:55]', '[3.6217,3.6491,0.9181,2.6285,1.6536,2.6564]', '[-0.1907,0.0442,0.1772,-0.0113,-0.0508,-0.1159]', '[-13.9138,-0.2510,5.0629,5.4403,2.4269,-0.6798]')
('[2024-05-25 13:11:55]', '[3.6054,3.6553,0.9352,2.6285,1.6471,2.6439]', '[-0.2205,0.0680,0.2022,-0.0113,-0.0989,-0.1712]', '[-16.3875,-4.7537,7.7977,6.3071,3.6937,-0.5120]')
('[2024-05-25 13:11:55]', '[3.5874,3.6614,0.9571,2.6282,1.6390,2.6289]', '[-0.1454,0.0612,0.2209,-0.0113,-0.0773,-0.1531]', '[-20.2806,-9.0118,10.5128,7.3944,5.2564,-0.5441]')
('[2024-05-25 13:11:55]', '[3.5710,3.6676,0.9774,2.6253,1.6309,2.6133]', '[-0.1435,0.0597,0.2007,-0.0453,-0.0915,-0.1569]', '[-23.6898,-12.2592,14.1897,8.2841,6.5883,-0.6195]')
('[2024-05-25 13:11:55]', '[3.5625,3.6734,0.9997,2.6229,1.6236,2.5948]', '[-0.0417,0.0213,0.1232,-0.0227,-0.0621,-0.1596]', '[-24.3474,-14.0246,15.2462,8.3424,7.0129,-0.4128]')
('[2024-05-25 13:11:55]', '[3.5602,3.6759,1.0052,2.6210,1.6169,2.5788]', '[-0.0443,0.0213,0.0320,-0.0227,-0.0780,-0.1771]', '[-22.5603,-10.7765,13.7198,7.7494,6.0225,-0.7032]')
('[2024-05-25 13:11:55]', '[3.5559,3.6776,1.0078,2.6202,1.6123,2.5605]', '[-0.0353,0.0144,0.0198,-0.0113,-0.0401,-0.2041]', '[-22.1969,-9.9029,13.4660,7.4936,5.5724,-0.8345]')
('[2024-05-25 13:11:55]', '[3.5542,3.6786,1.0094,2.6198,1.6104,2.5414]', '[-0.0183,0.0136,0.0078,-0.0113,-0.0437,-0.2126]', '[-21.4550,-8.9104,12.5086,7.2124,5.1468,-1.1317]')
('[2024-05-25 13:11:55]', '[3.5535,3.6794,1.0116,2.6194,1.6097,2.5263]', '[-0.0092,0.0149,0.0747,-0.0113,-0.0113,-0.1671]', '[-21.0377,-8.8809,12.6949,7.0160,5.0292,-1.1711]')
('[2024-05-25 13:11:56]', '[3.5535,3.6802,1.0152,2.6191,1.6090,2.5128]', '[-0.0092,0.0103,0.0222,-0.0113,-0.0113,-0.1580]', '[-21.0659,-8.3908,12.5555,6.9822,4.9069,-1.1362]')
('[2024-05-25 13:11:56]', '[3.5533,3.6827,1.0178,2.6190,1.6089,2.4914]', '[-0.0092,0.0078,0.0078,-0.0113,-0.0113,-0.1120]', '[-19.9516,-7.1619,11.5894,6.5698,4.3703,-1.2949]')
('[2024-05-25 13:11:56]', '[3.5530,3.6836,1.0182,2.6190,1.6089,2.4793]', '[-0.0092,0.0118,0.0006,-0.0113,-0.0000,-0.1661]', '[-19.7442,-6.0823,11.1033,6.4514,4.0445,-1.3267]')
('[2024-05-25 13:11:56]', '[3.5527,3.6848,1.0191,2.6190,1.6090,2.4614]', '[-0.0092,0.0078,0.0078,-0.0113,-0.0000,-0.2009]', '[-19.1652,-5.8116,10.8156,6.2822,3.8763,-1.3948]')
('[2024-05-25 13:11:56]', '[3.5527,3.6860,1.0207,2.6190,1.6090,2.4433]', '[-0.0092,0.0135,0.0262,-0.0113,-0.0000,-0.2412]', '[-19.1831,-5.2956,10.8301,6.2186,3.6819,-1.4925]')
('[2024-05-25 13:11:56]', '[3.5527,3.6876,1.0248,2.6190,1.6090,2.4185]', '[-0.0092,0.0114,0.0426,-0.0113,-0.0000,-0.2651]', '[-19.5922,-5.5234,11.0848,6.2645,3.8065,-1.6617]')
('[2024-05-25 13:11:56]', '[3.5527,3.6896,1.0310,2.6190,1.6090,2.3936]', '[-0.0092,0.0099,0.0762,-0.0107,-0.0000,-0.2933]', '[-20.3467,-6.5574,11.4085,6.4597,4.0123,-1.6132]')
('[2024-05-25 13:11:56]', '[3.5527,3.6914,1.0370,2.6190,1.6091,2.3643]', '[-0.0092,0.0102,0.0589,-0.0000,-0.0000,-0.3188]', '[-21.1627,-6.9468,12.3071,6.6848,4.2725,-1.8448]')
('[2024-05-25 13:11:56]', '[3.5527,3.6933,1.0426,2.6190,1.6091,2.3305]', '[-0.0092,0.0121,0.0410,-0.0000,-0.0000,-0.4017]', '[-21.6266,-7.5720,13.0630,6.6692,4.3654,-1.9414]')
('[2024-05-25 13:11:57]', '[3.5527,3.6944,1.0442,2.6190,1.6095,2.2995]', '[-0.0092,0.0135,0.0002,-0.0000,0.0064,-0.3605]', '[-21.6798,-6.4408,12.3535,6.6398,3.9969,-2.4780]')
('[2024-05-25 13:11:57]', '[3.5527,3.6962,1.0455,2.6191,1.6115,2.2369]', '[-0.0092,0.0075,0.0078,-0.0000,0.0000,-0.2220]', '[-21.3704,-5.1499,11.4797,6.3476,3.4240,-2.6216]')
('[2024-05-25 13:11:57]', '[3.5527,3.6977,1.0469,2.6191,1.6136,2.2136]', '[-0.0092,0.0144,0.0193,-0.0000,0.0277,-0.2515]', '[-21.2359,-4.8725,11.1642,6.2558,3.2484,-2.8895]')
('[2024-05-25 13:11:57]', '[3.5527,3.6994,1.0506,2.6192,1.6151,2.1886]', '[-0.0092,0.0078,0.0555,-0.0000,0.0000,-0.2630]', '[-21.5405,-5.6512,11.7290,6.2947,3.4293,-2.6842]')
('[2024-05-25 13:11:57]', '[3.5527,3.7013,1.0547,2.6193,1.6171,2.1605]', '[-0.0092,0.0193,0.0454,-0.0000,0.0310,-0.2881]', '[-22.1658,-5.7183,12.2627,6.4314,3.5346,-2.9916]')
('[2024-05-25 13:11:57]', '[3.5527,3.7037,1.0593,2.6194,1.6190,2.1273]', '[-0.0092,0.0205,0.0528,-0.0000,0.0110,-0.3541]', '[-22.6336,-5.6635,12.5776,6.4544,3.4978,-3.5386]')
('[2024-05-25 13:11:57]', '[3.5527,3.7058,1.0610,2.6196,1.6215,2.0982]', '[-0.0092,0.0282,0.0078,-0.0000,0.0607,-0.3104]', '[-22.3261,-4.7504,12.3948,6.3303,3.2733,-3.8038]')
('[2024-05-25 13:11:57]', '[3.5527,3.7081,1.0613,2.6199,1.6271,2.0662]', '[-0.0092,0.0312,0.0000,0.0053,0.0514,-0.3117]', '[-22.2895,-3.8538,11.7759,6.1947,2.8894,-3.5748]')
('[2024-05-25 13:11:57]', '[3.5527,3.7103,1.0614,2.6204,1.6321,2.0363]', '[-0.0092,0.0197,0.0000,0.0000,0.0511,-0.2709]', '[-21.9517,-3.0255,11.2762,6.0040,2.5091,-3.9672]')
('[2024-05-25 13:11:58]', '[3.5527,3.7153,1.0621,2.6218,1.6439,1.9753]', '[-0.0092,0.0198,0.0000,0.0000,0.0348,-0.3516]', '[-22.1851,-1.9671,10.8587,5.9569,2.1946,-4.4518]')
