[-0.6283, -0.6140, -0.2695, -0.1704, 0.3536, -0.6663]
[-0.6283, -0.6283, -0.2483, -0.2034, 0.3868, -0.6995]
[-0.6283, -0.6283, -0.2272, -0.2364, 0.4200, -0.7327]
[-0.6283, -0.6283, -0.2265, -0.1347, 0.3610, -0.6125]
[-0.6283, -0.6283, -0.2034, -0.1679, 0.3895, -0.6457]
[-0.6283, -0.6283, -0.1802, -0.2011, 0.4181, -0.6789]
[-0.6283, -0.6283, -0.1571, -0.2343, 0.4466, -0.7121]
[-0.6283, -0.6283, -0.1339, -0.2675, 0.4751, -0.7453]
[-0.6283, -0.6283, -0.2265, -0.1347, 0.3610, -0.6125]
[-0.6283, -0.6283, -0.2034, -0.1679, 0.3895, -0.6457]
[-0.6283, -0.6283, -0.1802, -0.2011, 0.4181, -0.6789]
[-0.6283, -0.6283, -0.1571, -0.2343, 0.4466, -0.7121]
[-0.6283, -0.6283, -0.1339, -0.2675, 0.4751, -0.7453]
[-0.6283, -0.5990, -0.1941, -0.2110, 0.4170, -0.6483]
[-0.6283, -0.5994, -0.1643, -0.2442, 0.4502, -0.6815]
[-0.6283, -0.5998, -0.1345, -0.2774, 0.4834, -0.7147]
[-0.6283, -0.6002, -0.1047, -0.3106, 0.5166, -0.7479]
[-0.6283, -0.6006, -0.0749, -0.3438, 0.5498, -0.7811]
[-0.6283, -0.5702, -0.1272, -0.2341, 0.3813, -0.8378]
[-0.6283, -0.5500, -0.1033, -0.2673, 0.3952, -0.8378]
[-0.6283, -0.5298, -0.0794, -0.3005, 0.4091, -0.8378]
[-0.6283, -0.5096, -0.0556, -0.3337, 0.4230, -0.8378]
[-0.6283, -0.4894, -0.0317, -0.3669, 0.4369, -0.8378]
[-0.6283, -0.6019, -0.0855, -0.2928, 0.3904, -0.7573]
[-0.6283, -0.5721, -0.0714, -0.3260, 0.3819, -0.7905]
[-0.6283, -0.5424, -0.0574, -0.3592, 0.3734, -0.8237]
[-0.6283, -0.5126, -0.0433, -0.3924, 0.3649, -0.8378]
[-0.6283, -0.4829, -0.0293, -0.4256, 0.3564, -0.8378]
[-0.6230, -0.5744, -0.0298, -0.3069, 0.4965, -0.6868]
[-0.6283, -0.5412, -0.0200, -0.3401, 0.5012, -0.7200]
